biog_id	x姓名	성명	name	alt_name	alt_name2	姓貫	office	reference	vol	page	side	notes
E904253	金好衡	김호형	Kim Hohyŏng				郡守	安東權氏成化譜	3	28	a	
E904254	安定	안정	An Chŏng			順興 安	別監	安東權氏成化譜	3	28	a	
E200561	成抑					昌寧 成	贊成	安東權氏成化譜	3	28	b	
E402226	廉致庸	염치용	Yŏm Ch'iyong			瑞原 廉	參議	安東權氏成化譜	3	28	b	
E900408	洪閏溫	홍윤온	Hong Yunon			南陽 洪	護軍	安東權氏成化譜	3	28	b	
E900409	洪繼元	홍계원	Hong Kyewŏn	洪係元		南陽 洪	進士	安東權氏成化譜	3	28	b	
E900412	洪纘元	홍찬원	Hong Ch'anwŏn			南陽 洪	 	安東權氏成化譜	3	28	b	
E901939	成重識	성중식	Sŏng Chungsik	成童識		昌寧 成	郡事	安東權氏成化譜	3	28	b	
E901943	成慎義			成信義		昌寧 成	進士	安東權氏成化譜	3	28	b	
E901951	成愼禮	성신례	Sŏng Sillye	成信禮		昌寧 成	 	安東權氏成化譜	3	28	b	
E904261	安仁剛	안인강	An In'gang	安仁綱		順興 安	司正	安東權氏成化譜	3	28	b	
E904263	李逈	이형	Yi Hyŏng				掌令	安東權氏成化譜	3	28	b	
E904270	安孝悌	안효우	An Hyou	安孝友		順興 安	 	安東權氏成化譜	3	28	b	
E904281	曺仲道	조중도	Cho Chungdo			昌寧 曺	司直	安東權氏成化譜	3	28	b	
E904288	安孝友					順興 安		安東權氏成化譜	3	28	b	
E904299	李壽山						縣監	安東權氏成化譜	3	28	b	
E904301	安孝忠			安忠友		順興 安	 	安東權氏成化譜	3	28	b	
E904317	安義剛	안의강	An Ŭigang	安義綱		順興 安	奉禮	安東權氏成化譜	3	28	b	
E904320	安從剛	안종강	An Chonggang	安終剛	安終綱	順興 安	 	安東權氏成化譜	3	28	b	
EB01385	曺祥	조상	Cho Sang			昌寧 曺		安東權氏成化譜	3	28	b	
EB04113	柳元廷	유원정	Yu Wŏnjŏng				瑞原君	安東權氏成化譜	3	28	b	
EB04114	洪尙濱	홍상빈	Hong Sangbin			南陽 洪	王郞	安東權氏成化譜	3	28	b	
EB04116	洪尙溥					南陽 洪	佐郞	安東權氏成化譜	3	28	b	
EB04117	洪智	홍지	Hong Chi			南陽 洪	直長	安東權氏成化譜	3	28	b	
EB04118	洪賀孫	홍하손	Hong Hason			南陽 洪	司直	安東權氏成化譜	3	28	b	
EB04119	洪閏禧	홍윤희	Hong Yunhŭi			南陽 洪	著作	安東權氏成化譜	3	28	b	
EB04123	洪敬孫	홍경손	Hong Kyŏngson			南陽 洪	僉知	安東權氏成化譜	3	28	b	
E500827	洪係貞	홍계정	Hong Kyejŏng	洪繼貞		南陽 洪		安東權氏成化譜	3	29	a	
E900415	洪順元					南陽 洪	 	安東權氏成化譜	3	29	a	
E900417	洪致元	홍치원	Hong Ch'iwŏn			南陽 洪	 	安東權氏成化譜	3	29	a	
EB04124	愼成終	신성종	Sin Sŏngjong				縣監	安東權氏成化譜	3	29	a	
EB04126	愼壽命	신수명	Sin Sumyŏng				 	安東權氏成化譜	3	29	a	
EB04127	愼壽長	신수장	Sin Sujang				 	安東權氏成化譜	3	29	a	
EB04128	愼壽千	신수천	Sin Such'ŏn				 	安東權氏成化譜	3	29	a	
EB04129	愼壽億	신수억	Sin Suŏk				 	安東權氏成化譜	3	29	a	
EB04130	洪閏善	홍윤선	Hong Yunsŏn			南陽 洪	 	安東權氏成化譜	3	29	a	
EB04131	洪閏德	홍윤덕	Hong Yundŏk			南陽 洪	進士	安東權氏成化譜	3	29	a	
EB04133	曹彙	조휘	Cho Hwi				判官	安東權氏成化譜	3	29	a	
EB04136	趙之孚	조지부	Cho Chibu			豊壤 趙	司直	安東權氏成化譜	3	29	a	
EB04137	趙世輔	조세보	Cho Sebo			豊壤 趙		安東權氏成化譜	3	29	a	
EB04142	閔精	민정	Min Chŏng				 	安東權氏成化譜	3	29	a	
EB04145	洪孝孫	홍효손	Hong Hyoson			南陽 洪	司勇	安東權氏成化譜	3	29	a	
EB04146	兪以諫	유이간	Yu Igan				 	安東權氏成化譜	3	29	a	
E200488	尹恭	윤공	Yun Kong			坡平 尹	忠順衛	安東權氏成化譜	3	29	b	
E502923	姜利恭	강이공	Kang Igong			晋州 姜		安東權氏成化譜	3	29	b	
E502924	洪景霖	홍경림	Hong Kyŏngnim			南陽 洪	生員	安東權氏成化譜	3	29	b	
E502976	洪景舟					南陽 洪	進士	安東權氏成化譜	3	29	b	
E502985	洪景礪	홍경여	Hong Kyŏngyŏ			南陽 洪	進士	安東權氏成化譜	3	29	b	
E701503	玄思肅					昌原 玄		安東權氏成化譜	3	29	b	
EA01519	金填					淸風 金	參奉	安東權氏成化譜	3	29	b	
EB04150	洪閏輔	홍윤보	Hong Yunbo			南陽 洪	 	安東權氏成化譜	3	29	b	
EB04151	洪閏弼	홍윤필	Hong Yunp'il			南陽 洪	 	安東權氏成化譜	3	29	b	
EB04153	洪悌孫	홍제손	Hong Cheson			南陽 洪	縣監	安東權氏成化譜	3	29	b	
