biog_id	x姓名	name	generation	inferred_choronym
E200560	成得識	Sŏng Tŭksik	18	
E300016	成奉祖		18	
E104185	成復	Sŏng Pok	20	
E206227	成顧	Sŏng Samgo	20	
E901935	成貴達	Sŏng Kwidal	19	
E302613	成漢	Sŏng Han	22	
E901919	成季溫	Sŏng Kyeon	20	
E901957	成繼性	Sŏng Kyesŏng	19	
EB03297	成甲孫	Sŏng Kapson	20	
E901920	成健	Sŏng Kŏn	20	
EC02139	成晉	Sŏng Chin	20	
EB04212	成晋	Sŏng Chin	18	
E901895	成懼	Sŏng Ku	19	
E901912	成俊	Sŏng Chun	19	
D206728	成老	Sŏng Ro	15	
E302099	成慄	Sŏng Ryul	19	
E401836	成念祖	Sŏng Yŏmjo	18	
E206222	成聘	Sŏng Sambing	19	
EB04210	成溥	Sŏng Pu	16	
E901884	成俔	Sŏng Hyŏn	20	
E206229	成三省	Sŏng Samsŏng	19	
E206216	成三問	Sŏng Sammun	19	
E103657	成三錫	Sŏng Samsŏk	20	
E303338	成善	Sŏng Sŏn	18	
E901951	成愼禮	Sŏng Sillye	20	
E901941	成愼仁		20	
E901943	成慎義		20	
E206214	成勝		18	
E501711	成世勣	Sŏng Sejŏk	20	
EC03992	成世傑	Sŏng Segŏl	21	
E300475	成世明	Sŏng Semyŏng	20	
E501894	成世愼	Sŏng Sesin	21	
E104183	成守謙	Sŏng Sugyŏm	19	
E000276	成淑	Sŏng Suk	21	
E901978	成順性	Sŏng Sunsŏng	19	
EB04213	成完	Sŏng Wan	18	
E504724	成琓	Sŏng Wan	20	
E203352	成文猷	Sŏng Munyu	19	
E203353	成文治	Sŏng Munch'i	20	
E901954	成扱	Sŏng Kŭp	18	
E104464	成熺	Sŏng Hŭi	19	
E903253	成孝淵	Sŏng Hyoyŏn	19	
EB04211	成孝淵	Sŏng Hyoyŏn	17	
EA02737	成孝源	Sŏng Hyowŏn	20	
E200561	成抑		18	
E104184	成益	Sŏng Ik	20	
EC00136	成益之	Sŏng Ikchi	17	
E501836	成玉貞	Sŏng Okchŏng	20	
E303340	成允文	Sŏng Yunmun	19	
E303346	成允武	Sŏng Yunmu	20	
E402435	成載	Sŏng Chae	18	
E504670	成瓚	Sŏng Ch'an	20	
E901928	成忠達	Sŏng Ch'ungdal	20	
E901914	成仲溫	Sŏng Chungon	20	
E901939	成重識	Sŏng Chungsik	19	
E901971	成重性	Sŏng Chungsŏng	19	
EA02738	成準		21	
E204142	池季江	Chi Kyegang	19	
E206421	池繼海	Chi Kyehae	19	
E806668	池浚	Chi Chun	21	
E807697	池彭老	Chi P'aengno	18	
E201917	池叔林	Chi Sungnim	19	
EC01845	池允源	Chi Yunwŏn	20	
E201832	池自淡	Chi Chadam	19	
E807702	池宗海	Chi Chonghae	17	
E101477	崔安信	Ch'oe Ansin	18	
E305787	崔安沚	Ch'oe Anji	16	
E104689	崔庵	Ch'oe Am	19	
EA00407	崔弼同		20	
